ID,Name,Is_Closed,Review_Count,Categories_All,Categories,Rating,Latitude,Longitude,Price,Address,City,Zip_Code,State
hIythZZ3mpPwwhSJkUuJQQ,Pez Cantina,False,824,"Seafood, Mexican, Bars",Bars,4.0,34.0515515,-118.2534951,2,401 S Grand Ave,Los Angeles,90071,CA
aGLajxFClnvoAGUqgBy0fw,Robert's Russian Cuisine,False,218,"Russian, Armenian",Russian,4.5,34.0999077,-118.3448671,2,1603 N La Brea Ave,Los Angeles,90028,CA
aGLajxFClnvoAGUqgBy0fw,Robert's Russian Cuisine,False,218,"Russian, Armenian",Armenian,4.5,34.0999077,-118.3448671,2,1603 N La Brea Ave,Los Angeles,90028,CA
-kXz-ND_kQuBnOhpdlN7gA,Red Lion Tavern,False,1591,"Pubs, German",Pubs,4.0,34.09918,-118.25887,2,2366 Glendale Blvd,Los Angeles,90039,CA
-kXz-ND_kQuBnOhpdlN7gA,Red Lion Tavern,False,1591,"Pubs, German",German,4.0,34.09918,-118.25887,2,2366 Glendale Blvd,Los Angeles,90039,CA
qzU47stEMPSAALcewOf9kg,Nong La Cafe,False,1337,"Vietnamese, Soup",Vietnamese,3.5,34.0401001,-118.4431229,2,2055 Sawtelle Blvd,Los Angeles,90025,CA
qzU47stEMPSAALcewOf9kg,Nong La Cafe,False,1337,"Vietnamese, Soup",Soup,3.5,34.0401001,-118.4431229,2,2055 Sawtelle Blvd,Los Angeles,90025,CA
-t-eDIO78IGu95mjHk-_5w,To Soc Chon,False,57,Korean,Korean,4.5,34.0673800451829,-118.308827541461,2,356 S Western Ave,Los Angeles,90020,CA
4naS3jOXLWXpAGOHlldeSQ,Kogi Taqueria,False,537,"Mexican, Asian Fusion, Food Trucks",Mexican,3.5,34.0245048089441,-118.411181166243,1,3500 Overland Ave,Los Angeles,90034,CA
4naS3jOXLWXpAGOHlldeSQ,Kogi Taqueria,False,537,"Mexican, Asian Fusion, Food Trucks",Asian Fusion,3.5,34.0245048089441,-118.411181166243,1,3500 Overland Ave,Los Angeles,90034,CA
4naS3jOXLWXpAGOHlldeSQ,Kogi Taqueria,False,537,"Mexican, Asian Fusion, Food Trucks",Food Trucks,3.5,34.0245048089441,-118.411181166243,1,3500 Overland Ave,Los Angeles,90034,CA
XR5S7kMZKyQBuW_bNe_sag,Nick's Coffee Shop,False,790,"Breakfast & Brunch, Coffee & Tea, American (Traditional)",Breakfast & Brunch,4.0,34.0532,-118.37709,2,8536 W Pico Blvd,Los Angeles,90035,CA
XR5S7kMZKyQBuW_bNe_sag,Nick's Coffee Shop,False,790,"Breakfast & Brunch, Coffee & Tea, American (Traditional)",Coffee & Tea,4.0,34.0532,-118.37709,2,8536 W Pico Blvd,Los Angeles,90035,CA
XR5S7kMZKyQBuW_bNe_sag,Nick's Coffee Shop,False,790,"Breakfast & Brunch, Coffee & Tea, American (Traditional)",American (Traditional),4.0,34.0532,-118.37709,2,8536 W Pico Blvd,Los Angeles,90035,CA
9RB_-5aXR9HMdrpcA6L5WQ,Chin's Hawaiian Teriyaki Bbq Chicken,False,59,"Barbeque, Chicken Wings",Barbeque,4.0,34.0421867,-118.3088951,1,1708 S Western Ave,Los Angeles,90006,CA
9RB_-5aXR9HMdrpcA6L5WQ,Chin's Hawaiian Teriyaki Bbq Chicken,False,59,"Barbeque, Chicken Wings",Chicken Wings,4.0,34.0421867,-118.3088951,1,1708 S Western Ave,Los Angeles,90006,CA
b85ulrz02-Dx6SR_cAzxbw,RoRo's Chicken,False,550,"Mediterranean, Lebanese, Chicken Shop",Mediterranean,4.0,34.09756,-118.3357,1,6660 W Sunset Blvd,Los Angeles,90028,CA
b85ulrz02-Dx6SR_cAzxbw,RoRo's Chicken,False,550,"Mediterranean, Lebanese, Chicken Shop",Lebanese,4.0,34.09756,-118.3357,1,6660 W Sunset Blvd,Los Angeles,90028,CA
b85ulrz02-Dx6SR_cAzxbw,RoRo's Chicken,False,550,"Mediterranean, Lebanese, Chicken Shop",Chicken Shop,4.0,34.09756,-118.3357,1,6660 W Sunset Blvd,Los Angeles,90028,CA
-Di-XNK5lOJukf2XmJBnfQ,Dune Downtown,False,121,"Falafel, Sandwiches, Middle Eastern",Falafel,4.5,34.0409575,-118.257195,2,199 W Olympic Blvd,Los Angeles,90015,CA
-Di-XNK5lOJukf2XmJBnfQ,Dune Downtown,False,121,"Falafel, Sandwiches, Middle Eastern",Sandwiches,4.5,34.0409575,-118.257195,2,199 W Olympic Blvd,Los Angeles,90015,CA
-Di-XNK5lOJukf2XmJBnfQ,Dune Downtown,False,121,"Falafel, Sandwiches, Middle Eastern",Middle Eastern,4.5,34.0409575,-118.257195,2,199 W Olympic Blvd,Los Angeles,90015,CA
UJEw3VVhwrFMgJCiTaQG8A,The Griffin,False,973,"Lounges, Gastropubs",Lounges,3.5,34.12519,-118.26466,2,3000 Los Feliz Blvd,Los Angeles,90039,CA
UJEw3VVhwrFMgJCiTaQG8A,The Griffin,False,973,"Lounges, Gastropubs",Gastropubs,3.5,34.12519,-118.26466,2,3000 Los Feliz Blvd,Los Angeles,90039,CA
VRlrvtmKcpY86oyF93WVRQ,Fresh Corn Grill,False,571,"American (New), Italian, Mexican",American (New),4.0,34.0576324462891,-118.442680358887,2,1266 Westwood Blvd,Los Angeles,90024,CA
VRlrvtmKcpY86oyF93WVRQ,Fresh Corn Grill,False,571,"American (New), Italian, Mexican",Italian,4.0,34.0576324462891,-118.442680358887,2,1266 Westwood Blvd,Los Angeles,90024,CA
VRlrvtmKcpY86oyF93WVRQ,Fresh Corn Grill,False,571,"American (New), Italian, Mexican",Mexican,4.0,34.0576324462891,-118.442680358887,2,1266 Westwood Blvd,Los Angeles,90024,CA
g5s8qBx7_uUU-3pALdvCMQ,Rice & Nori,False,159,"Japanese, Desserts, Coffee & Tea",Japanese,4.5,34.050052,-118.242365551451,1,123 Astronaut E S Onizuka St,Los Angeles,90012,CA
g5s8qBx7_uUU-3pALdvCMQ,Rice & Nori,False,159,"Japanese, Desserts, Coffee & Tea",Desserts,4.5,34.050052,-118.242365551451,1,123 Astronaut E S Onizuka St,Los Angeles,90012,CA
g5s8qBx7_uUU-3pALdvCMQ,Rice & Nori,False,159,"Japanese, Desserts, Coffee & Tea",Coffee & Tea,4.5,34.050052,-118.242365551451,1,123 Astronaut E S Onizuka St,Los Angeles,90012,CA
